category,product_name,REVENUE,rak
Beauty,Product_44016,277567.99,1
Beauty,Product_14849,274894.19999999995,2
Beauty,Product_786,272174.69999999995,3
Books,Product_35314,296468.78,1
Books,Product_28311,286757.72000000003,2
Books,Product_37479,276736.70999999996,3
Clothing,Product_7025,293821.9699999999,1
Clothing,Product_1560,288474.0900000001,2
Clothing,Product_31322,282241.1699999999,3
Electronics,Product_6719,299113.87,1
Electronics,Product_23519,289561.72,2
Electronics,Product_38170,288875.23,3
Home & Kitchen,Product_5012,305836.2200000001,1
Home & Kitchen,Product_37452,286817.4199999999,2
Home & Kitchen,Product_27682,283340.36000000004,3
Sports,Product_41700,297548.24000000005,1
Sports,Product_33334,279540.93999999994,2
Sports,Product_32124,277392.04999999993,3
Toys,Product_4967,298987.2,1
Toys,Product_44886,296493.18999999994,2
Toys,Product_30359,293813.55999999994,3
